                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                0.31752,                 0.4711,                0.89867,                0.59231,                0.60265,                0.53507,                0.11408,                0.14309,                0.31627,                0.55935,              0.0043075,              0.0043075,              0.0043075
                     48,                0.31531,                0.45599,                0.89804,                0.58707,                0.58577,                0.53116,                 0.1049,                0.13169,                 0.2808,                  0.555,              0.0041837,              0.0041837,              0.0041837
                     49,                0.31104,                0.45441,                0.89552,                0.60116,                0.60454,                0.54547,                0.11778,                0.13382,                0.28666,                0.55697,                0.00406,                0.00406,                0.00406
                     50,                0.30463,                0.43732,                0.89597,                0.60179,                0.60856,                0.53221,                0.10812,                 0.1312,                0.28403,                0.55363,              0.0039362,              0.0039362,              0.0039362
                     51,                0.30662,                0.42479,                0.89435,                0.59936,                0.59991,                0.53614,                0.10786,                 0.1381,                0.26465,                0.55304,              0.0038125,              0.0038125,              0.0038125
                     52,                0.31115,                0.43393,                0.89603,                0.56072,                0.59208,                0.53094,                0.11003,                 0.1358,                0.42431,                0.55429,              0.0036888,              0.0036888,              0.0036888
                     53,                 0.3051,                0.41926,                 0.8926,                0.64839,                0.65789,                0.59062,                0.15624,                0.13489,                0.22948,                0.55305,               0.003565,               0.003565,               0.003565
                     54,                0.30405,                0.42638,                0.89515,                0.58399,                0.56945,                0.52915,                0.10191,                0.12059,                0.26301,                0.54818,              0.0034413,              0.0034413,              0.0034413
                     55,                0.29965,                0.41967,                0.89599,                0.59509,                0.59934,                0.52247,                0.10271,                0.12105,                0.25208,                0.55198,              0.0033175,              0.0033175,              0.0033175
                     56,                0.29529,                0.40175,                0.89287,                0.60479,                0.60902,                0.53604,                0.11045,                0.12023,                0.22283,                0.55026,              0.0031938,              0.0031938,              0.0031938
                     57,                0.29174,                0.39734,                0.89261,                0.63668,                0.63802,                0.58747,                0.15394,                0.12913,                0.21953,                0.55104,                0.00307,                0.00307,                0.00307
                     58,                0.29159,                0.39608,                0.89186,                0.76968,                0.75576,                 0.7107,                0.32429,                0.11914,                0.21759,                0.54992,              0.0029462,              0.0029462,              0.0029462
                     59,                0.29165,                0.39469,                0.88866,                0.59427,                0.59708,                0.52732,                0.10724,                0.12322,                0.21884,                0.55003,              0.0028225,              0.0028225,              0.0028225
                     60,                0.28467,                 0.3802,                0.89053,                0.60358,                0.59854,                0.52904,                0.10998,                0.12363,                0.23185,                0.54994,              0.0026987,              0.0026987,              0.0026987
                     61,                 0.2875,                0.38378,                0.88987,                0.59493,                0.60366,                0.53209,                0.10902,                0.11721,                0.21465,                0.55052,               0.002575,               0.002575,               0.002575
                     62,                0.28021,                0.37512,                0.88796,                0.59256,                 0.5934,                0.52402,                0.10357,                0.11813,                0.20085,                0.55015,              0.0024513,              0.0024513,              0.0024513
                     63,                0.27796,                0.36866,                0.88893,                0.87233,                0.86685,                0.84143,                0.47663,                  0.126,                0.20327,                0.55117,              0.0023275,              0.0023275,              0.0023275
                     64,                 0.2745,                0.36554,                0.88981,                 0.6058,                0.60795,                0.54825,                0.11078,                0.11731,                0.20245,                0.54916,              0.0022038,              0.0022038,              0.0022038
                     65,                0.27624,                0.36122,                0.88636,                0.60607,                0.60733,                0.55527,                 0.1085,                0.11543,                0.21657,                0.54741,                0.00208,                0.00208,                0.00208
                     66,                0.27373,                0.35993,                0.88501,                0.87493,                0.87611,                  0.847,                0.45127,                0.12097,                0.20056,                0.55013,              0.0019563,              0.0019563,              0.0019563
                     67,                0.26984,                0.35617,                0.88377,                0.60647,                0.60733,                0.54946,                0.10653,                0.10858,                0.19121,                0.54566,              0.0018325,              0.0018325,              0.0018325
                     68,                0.26973,                0.34534,                 0.8867,                0.60696,                0.60733,                0.56388,                0.10948,                0.11384,                0.21429,                0.54667,              0.0017087,              0.0017087,              0.0017087
                     69,                0.26569,                0.34418,                0.88265,                0.59419,                0.59575,                0.55539,                0.10972,                0.11698,                0.27374,                0.54758,               0.001585,               0.001585,               0.001585
                     70,                0.26338,                0.33739,                0.88369,                0.67264,                0.67289,                0.62991,                0.17087,                0.11059,                0.18447,                0.54685,              0.0014612,              0.0014612,              0.0014612
                     71,                0.23572,                0.24113,                0.85118,                0.89994,                0.89993,                0.88885,                0.55169,                 0.1069,                0.18668,                0.54382,              0.0013375,              0.0013375,              0.0013375
                     72,                0.23169,                0.22464,                0.85432,                0.90671,                0.90569,                0.89741,                0.51979,                0.10402,                0.18009,                0.54388,              0.0012138,              0.0012138,              0.0012138
                     73,                0.21978,                0.20415,                0.84337,                0.82451,                0.82359,                0.79515,                0.44623,                0.09923,                0.16626,                0.54271,                0.00109,                0.00109,                0.00109
                     74,                0.21543,                 0.1972,                0.84622,                0.82013,                0.81969,                0.78991,                0.45942,                0.09857,                0.16252,                0.54227,             0.00096625,             0.00096625,             0.00096625
                     75,                 0.2082,                0.18625,                0.84117,                 0.8364,                0.83475,                0.81461,                0.48831,                 0.1022,                0.15964,                0.54229,              0.0008425,              0.0008425,              0.0008425
                     76,                0.20331,                0.17249,                0.83691,                0.86396,                0.86247,                0.84951,                 0.5396,                0.09635,                 0.1589,                0.54229,             0.00071875,             0.00071875,             0.00071875
                     77,                0.19965,                0.16698,                0.83559,                0.77091,                 0.7694,                0.74417,                0.38622,                0.10056,                 0.1621,                 0.5428,               0.000595,               0.000595,               0.000595
                     78,                0.19436,                0.16009,                0.83507,                0.85029,                0.84868,                0.83006,                0.54271,                0.10115,                0.15825,                0.54214,             0.00047125,             0.00047125,             0.00047125
                     79,                0.19072,                0.15774,                0.83463,                0.83734,                0.83582,                0.81723,                0.54168,                0.09809,                0.14849,                0.54155,              0.0003475,              0.0003475,              0.0003475
                     80,                0.18424,                0.14842,                0.83229,                0.89185,                0.89061,                 0.8776,                0.67029,                0.09831,                0.15165,                0.54173,             0.00022375,             0.00022375,             0.00022375
